ticker_yahoo,ticker_original,security,sector,sub_industry,region,market,country
WALMEX.MX,WALMEX.MX,Wal-Mart de Mexico,Consumer Defensive,Mexico,LAC,Mexico,Mexico
GMEXICOB.MX,GMEXICOB.MX,Grupo Mexico,Basic Materials,Mexico,LAC,Mexico,Mexico
FEMSAUBD.MX,FEMSAUBD.MX,Fomento Economico Mexicano,Consumer Defensive,Mexico,LAC,Mexico,Mexico
GFNORTEO.MX,GFNORTEO.MX,Grupo Financiero Banorte,Financial Services,Mexico,LAC,Mexico,Mexico
CEMEXCPO.MX,CEMEXCPO.MX,Cemex,Basic Materials,Mexico,LAC,Mexico,Mexico
BIMBOA.MX,BIMBOA.MX,Grupo Bimbo,Consumer Defensive,Mexico,LAC,Mexico,Mexico
KOFUBL.MX,KOFUBL.MX,Coca-Cola FEMSA,Consumer Defensive,Mexico,LAC,Mexico,Mexico
SQM-B.SN,SQM-B.SN,Sociedad Quimica y Minera de Chile,Basic Materials,Chile,LAC,Chile,Chile
CHILE.SN,CHILE.SN,Banco de Chile,Financial Services,Chile,LAC,Chile,Chile
BSANTANDER.SN,BSANTANDER.SN,Banco Santander Chile,Financial Services,Chile,LAC,Chile,Chile
COPEC.SN,COPEC.SN,Empresas Copec,Energy,Chile,LAC,Chile,Chile
FALABELLA.SN,FALABELLA.SN,Falabella,Consumer Cyclical,Chile,LAC,Chile,Chile
CENCOSUD.SN,CENCOSUD.SN,Cencosud,Consumer Defensive,Chile,LAC,Chile,Chile
ENELCHILE.SN,ENELCHILE.SN,Enel Chile,Utilities,Chile,LAC,Chile,Chile
CMPC.SN,CMPC.SN,CMPC,Basic Materials,Chile,LAC,Chile,Chile
