ticker_yahoo,ticker_original,security,sector,sub_industry
VTRS,VTRS,Viatris,Health Care,Pharmaceuticals
VZ,VZ,Verizon,Communication Services,Integrated Telecommunication Services
WAB,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WAT,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WBD,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WDAY,WDAY,"Workday, Inc.",Information Technology,Application Software
WDC,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,WEC,WEC Energy Group,Utilities,Electric Utilities
WELL,WELL,Welltower,Real Estate,Health Care REITs
WFC,WFC,Wells Fargo,Financials,Diversified Banks
WM,WM,Waste Management,Industrials,Environmental & Facilities Services
WMB,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WMT,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WSM,WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WTW,WTW,Willis Towers Watson,Financials,Insurance Brokers
WY,WY,Weyerhaeuser,Real Estate,Timber REITs
WYNN,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,XEL,Xcel Energy,Utilities,Multi-Utilities
XOM,XOM,ExxonMobil,Energy,Integrated Oil & Gas
XYL,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
XYZ,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services
YUM,YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBH,ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZBRA,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZTS,ZTS,Zoetis,Health Care,Pharmaceuticals
